Address,Name Tag,Balance,Percentage,Txn Count
"0x00000000219ab540356cbb839cbe05303d7705fa","Beacon Deposit Contract","54,443,192.33777011 ETH","45.20157853%","581,648"
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","2,728,324.48480837 ETH","2.26519732%","18,410,891"
"0xbe0eb53f46cd790cd13851d5eff43d12404d33e8","Binance 7","1,996,008.36878468 ETH","1.65719028%","1,688"
"0x40b38765696e3d5d8d9d834d8aad4bb6e418e489","Robinhood","1,420,194.72957533 ETH","1.17911975%","145"
"0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a","Arbitrum: Bridge","1,115,563.81105476 ETH","0.92619927%","55"
"0x49048044d57e1c92a77f79988d21fa8faf74e97e","Base: Base Portal","1,002,231.8932686 ETH","0.83210520%","1,083,626"
"0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet 20","769,549.43032799 ETH","0.63892008%","16,335"
"0xda9dfa130df4de4673b89022ee50ff26f6ea73cf","Kraken 13","631,253.51955598 ETH","0.52409960%","514"
"0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503","Binance: Binance-Peg Tokens","584,999.04884119 ETH","0.48569673%","92"
"0xbeb5fc579115071764c7423a4f12edde41f106ed","","525,677.36958888 ETH","0.43644478%","25,717"
"0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033","","524,785.8828948 ETH","0.43570462%","210"
"0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c","Bitfinex: MultiSig 3","468,063.76046368 ETH","0.38861095%","130"
"0xe92d1a43df510f82c66382592a047d288f85226f","Bitfinex 19","450,118.32841318 ETH","0.37371172%","473"
"0x0e58e8993100f1cbe45376c410f97f4893d9bfcd","","420,604.33807985 ETH","0.34920766%","20,521"
"0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4","Bybit: Hot Wallet 1","406,346.7688584 ETH","0.33737029%","132,514"
"0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea","Gemini 3","369,498.96536194 ETH","0.30677732%","774"
"0xd3a22590f8243f8e83ac230d1842c9af0404c4a1","Ceffu: Custody Hot Wallet 2","346,318.49362768 ETH","0.28753168%","699"
"0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca","","325,000.48237155 ETH","0.26983236%","125"
"0x3bfc20f0b9afcace800d73d2191166ff16540258","Polkadot: MultiSig","306,276.63547139 ETH","0.25428684%","524"
"0x866c9a77d8ab71d2874703e80cb7ad809b301e8e","","288,289.97091594 ETH","0.23935337%","38"
"0x8103683202aa8da10536036edef04cdd865c225e","Bitfinex 20","275,000.03350905 ETH","0.22831937%","62"
"0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae","EthDev","269,274.17010694 ETH","0.22356546%","2,647"
"0x8696e84ab5e78983f2456bcb5c199eea9648c8c2","Coincheck Cold 2","262,785.48252914 ETH","0.21817822%","794"
"0x0a4c79ce84202b03e95b7a692e5d728d83c44c76","","254,248.45402681 ETH","0.21109033%","58"
"0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9","Rain Lohmus","250,000.0239164 ETH","0.20756306%","77"
"0x539c92186f7c6cc4cbf443f26ef84c595babbca1","OKX 73","250,000.00963143 ETH","0.20756305%","21"
"0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f","OKX 76","250,000.00193497 ETH","0.20756304%","28"
"0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f","OKX 93","250,000.00186387 ETH","0.20756304%","30"
"0x1b3cb81e51011b549d78bf720b0d924ac763a7c2","","243,300.00448497 ETH","0.20200036%","216"
"0x220866b1a2219f40e72f5c628b65d54268ca3a9d","Vb 3","240,000.0295642 ETH","0.19926055%","174"
"0xafcd96e580138cfa2332c632e66308eacd45c5da","","219,207.45074413 ETH","0.18199746%","333"
"0x94dbf04e273d87e6d9bed68c616f43bf86560c74","","199,593.79098879 ETH","0.16571318%","18,945"
"0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d","Paxos 2","187,078.91295813 ETH","0.15532267%","65"
"0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28","","187,068.19582454 ETH","0.15531378%","44"
"0xf3b0073e3a7f747c7a38b36b805247b222c302a3","Crypto.com 6","174,871.99409571 ETH","0.14518785%","386,439"
"0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4","QuadrigaCX 4","169,032.00330836 ETH","0.14033919%","62"
"0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10","","168,434.97223825 ETH","0.13984350%","20"
"0x15c22df3e71e7380012668fb837c537d0f8b38a1","","164,861.96687941 ETH","0.13687701%","100"
"0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","161,510.95999812 ETH","0.13409482%","21,499,446"
"0x8484ef722627bf18ca5ae6bcf031c23e6e922b30","Polygon (Matic): Ether Bridge","152,894.16947885 ETH","0.12694072%","76"
"0x835678a611b28684005a5e2233695fb6cbbb0007","Binance 70","146,394.91614639 ETH","0.12154470%","179"
"0x999e77c988c4c1451d3b1c104a6cca7813a9946e","","143,216.68551842 ETH","0.11890596%","213"
"0x742d35cc6634c0532925a3b844bc454e4438f44e","Bitfinex 2","142,484.22544001 ETH","0.11829784%","22,695"
"0xb93d8596ac840816bd366dc0561e8140afd0d1cb","","139,701.32930816 ETH","0.11598733%","71"
"0xa160cdab225685da1d56aa342ad8841c3b53f291","Tornado.Cash: 100 ETH","139,300 ETH","0.11565413%","8,638"
"0x9e927c02c9eadae63f5efb0dd818943c7262fb8e","","137,881.51769392 ETH","0.11447643%","768"
"0xd19d4b5d358258f05d7b411e21a1460d11b0876f","Linea: L1 Message Service","135,790.30120555 ETH","0.11274019%","1,228,311"
"0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6","","135,283.67700819 ETH","0.11231957%","292"
"0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9","","135,188.02618657 ETH","0.11224015%","71"
"0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1","","132,432.53784574 ETH","0.10995240%","64"
"0xc882b111a75c0c657fc507c04fbfcd2cc984f071","Gate.io 5","132,045.4314066 ETH","0.10963101%","3,424"
"0xd5268a476aadd1a6729df5b3e5e8f2c1004139af","","130,876.36103968 ETH","0.10866038%","66"
"0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b","","129,392.27133712 ETH","0.10742821%","59"
"0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62","","129,392.17183338 ETH","0.10742813%","56"
"0x595faf77e533a5cd30ab5859c9a0116de8bad8db","","129,392.17164656 ETH","0.10742813%","127"
"0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce","","129,392.17136012 ETH","0.10742813%","59"
"0xf481b7fab9f5d0e74f21ae595a749634fb053619","","129,231.42216925 ETH","0.10729467%","67"
"0xa7c0d36c4698981fab42a7d8c783674c6fe2592d","Binance 74","128,280.0148017 ETH","0.10650476%","11"
